ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
CIG,สินค้าอุตสาหกรรม,,1/1 หมู่ 7 ถนนบางคูวัด ตำบลบางคูวัด อำเภอเมือง ปทุมธานี 12000,"0-2976-5290-9, 0-2598-2331-2",0-2976-5023,http://www.cigpcl.com,0.50 บาท,864.79,562.11,0.65,0.26,2.50,,44.68,2.47,0.92,-17.72,,,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะภายหลังจากการหักทุนสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในข้อบังคับของบริษัทและตามกฎหมาย,นาย อารีย์ พุ่มเสนาะ,109287800,12.64,902.49,672.77,225.00,432.39,277.45,-,-9.85,-0.01
CIMBT,ธุรกิจการเงิน,ธนาคาร,44 ถนนหลังสวน แขวงลุมพินี เขตปทุมวัน กทม. 10330,"02-626-7000, 02-657-3000 กด 0, 02-638-8000",02-657-3333,http://www.cimbthai.com,0.50 บาท,34822.26,29250.70,0.84,1.26,0.67,9.26,8.29,25.55,1.45,-5.62,1.19,0.11,พิจารณาจ่ายเงินปันผลให้แก่ผู้ถือหุ้นเมื่อธนาคารมีผลกำไรจากการดำเนินงานและมีการรักษาระดับเงินสำรองตามกฎหมายและธุรกิจตามข้อกำหนดแล้ว (โดยมีเงื่อนไขเพิ่มเติม),CIMB BANK BERHARD,33021971285,94.83,408255.47,364272.81,43982.65,17411.13,3889.51,360.37,1061.04,0.03
CITY,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,88/3 หมู่ 4 ถนนบายพาส ตำบลหนองไม้แดง อำเภอเมือง ชลบุรี 20000,0-3878-2064-9,0-3878-2070,http://www.citysteelpcl.com,1.00 บาท,300.00,870.00,2.90,4.40,0.66,,8.94,0.74,1.06,-5.84,,,ไม่เกินร้อยละ 40 ของกำไรสุทธิของงบการเงินรวม หลังหักภาษีเงินได้และสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ดับบลิว เค พี แอสเซ็ท พลัส จำกัด,166500000,55.50,1343.63,23.71,1319.92,300.00,60.23,-,-4.11,-0.01
CIVIL,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,68/12 อาคารซีอีซี ชั้น 7 ถนนกำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กทม. 10900,0-2589-8888-9,0-2589-8886-7,http://www.civilengineering.co.th,1.00 บาท,700.00,3360.00,4.80,2.44,1.96,20.51,294.65,126.68,1.29,4.35,0.42,0.09,ไม่น้อยกว่าร้อยละ 40.00 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการหลังหักภาษีเงินได้นิติบุคคลและหลังหักสำรองต่างๆ ทุกประเภทที่กฎหมายและบริษัทฯ กำหนดไว้ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),บริษัท อัศวศิริสุข โฮลดิ้ง จำกัด,450000000,64.29,7563.32,5852.37,1710.95,700.00,1649.57,-,40.32,0.06
CK,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"อาคารวิริยะถาวร, 587 ถนนสุทธิสารวินิจฉัย แขวงรัชดาภิเษก เขตดินแดง กทม. 10400","0-2277-0460, 0-2275-0026",0-2275-7029,http://www.ch-karnchang.co.th,1.00 บาท,1693.90,34894.28,20.60,15.55,1.33,41.68,41.09,138.52,1.12,-10.04,1.21,0.51,ประมาณไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีแล้วในแต่ละปี โดยจ่ายในปีถัดไป หากไม่มีเหตุจำเป็นอื่นใด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท มหาศิริ สยาม จำกัด,241512365,14.26,79594.98,53387.69,25774.39,1693.90,7283.24,83.85,121.39,0.07
CKP,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 587 อาคารวิริยะถาวร ชั้น 19 ถนนสุทธิสารวินิจฉัย แขวงดินแดง เขตดินแดง กทม. 10400,0-2691-9720-2,0-2691-9723,http://www.ckpower.co.th,1.00 บาท,8129.38,45524.54,5.60,3.08,1.82,21.65,24.45,99.44,1.08,12.00,1.43,0.31,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลจากงบการเงินบริษัท และหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ช.การช่าง จำกัด (มหาชน),2438961348,30.00,68831.62,32638.96,25031.82,8129.38,2543.01,-2.21,38.73,-
CM,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,149/34 ชั้น 3-4 ซอยแองโกลพลาซ่า ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม. 10500,"0-2238-4091, 0-2235-9934, 0-2634-0061-4",0-2238-4090,http://www.cmfrozen.com,1.00 บาท,381.15,1349.26,3.54,3.38,1.05,,138.60,17.60,0.80,24.65,,,ร้อยละ 60 ของกำไรสุทธิ,บริษัท เกษตรเหนือ จำกัด,162458988,42.62,1663.69,349.67,1287.53,381.15,322.07,-2.55,-1.04,-
CMAN,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,195/11-12 อาคารเลครัชดา ออฟฟิส คอมเพล็กซ์ 2 ชั้น 10-11 ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กทม. 10110,0-2661-9734,0-2260-9176,http://www.chememan.com,1.00 บาท,960.00,2227.20,2.32,2.33,1.00,17.86,87.50,18.53,0.85,6.42,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินรวมหรืองบการเงินเฉพาะกิจการ (กรณีบริษัทนั้นไม่มีการลงทุนในบริษัทย่อย) (โดยมีเงื่อนไขเพิ่มเติม),นาย ชาย ศรีวิกรม์,267805900,27.90,6958.71,4622.26,2236.61,960.00,1106.00,-0.26,83.36,0.09
CMC,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 909/1 อาคารซีเอ็มซี ทาวเวอร์ ชั้น 6 ห้อง 601-602 ถนนสมเด็จพระเจ้าตากสิน แขวงดาวคะนอง เขตธนบุรี กทม. 10600,0-2468-9000 และ 1172,0-2460-2080,http://www.cmc.co.th,1.00 บาท,1028.57,1748.57,1.70,2.58,0.66,,77.12,12.98,1.51,12.58,2.35,,ไม่น้อยกว่าอัตรา 40% ของกำไรสุทธิของงบการเงินเฉพาะกิจการ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ทเวลฟ์ มัลติพลาย แอสเซท จำกัด,308571428,30.00,5532.42,2876.79,2655.62,1028.57,262.69,-,-28.13,-0.03
CMO,บริการ,,4/18-19 ซ.นวลจันทร์ 56 แขวงนวลจันทร์ เขตบึงกุ่ม กทม. 10230,0-2088-3888,0-2088-3857,http://www.cmo-group.com,1.00 บาท,280.96,2303.89,8.20,1.37,6.57,,161.27,36.62,1.25,45.13,,,ประมาณร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้และหลังหักสำรองต่างๆ ทุกประเภทตามกฎหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),นาย กิติศักดิ์ จำปาทิพย์พงศ์,62333333,24.40,1019.95,659.41,350.54,255.46,150.57,-,-35.85,-0.14
CMR,บริการ,การแพทย์,เลขที่ 8 ถนนบุญเรืองฤทธิ์ ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200,0-5399-9777,0-5399-9799,http://www.lanna-hospital.com,0.10 บาท,4023.12,10862.44,2.70,1.03,2.63,33.36,7.90,9.19,0.54,-11.76,2.41,0.80,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิภายหลังการชำระภาษีแล้ว (โดยมีเงื่อนไขเพิ่มเติม),บริษัท โรงพยาบาลวิภาวดี จำกัด (มหาชน),3361400000,83.55,13139.21,6568.10,4135.44,402.31,1308.51,4.63,115.89,0.03
CNT,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,727 ถนนลาซาล แขวงบางนาใต้ เขตบางนา กทม. 10260,0-2338-8000,0-2338-8090,http://www.cn-thai.co.th,1.00 บาท,1027.90,1757.72,1.71,1.84,0.93,,0.99,0.18,0.95,-12.76,,,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีแล้วของงบการเงินเฉพาะบริษัทฯ และจ่ายปันผลนั้นไม่มีผลกระทบต่อการดำเนินงานปกติของบริษัทฯ,บริษัท โกลเบ๊กซ์ คอร์ปอเรชั่น จำกัด,581126256,56.54,5599.40,3686.17,1893.37,1027.90,1241.96,-,-11.99,-0.01
COLOR,สินค้าอุตสาหกรรม,,เลขที่ 858 หมู่ที่ 2 ซอย 1C/1 นิคมอุตสาหกรรมบางปู ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280,0-2323-2601-8,0-2323-2227-8,http://www.saleecolour.com,1.00 บาท,588.96,1066.03,1.81,1.38,1.31,21.44,38.21,4.59,0.79,-11.27,2.76,0.59,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิของงบการเงินเฉพาะกิจการ หลังจากหักชำระภาษีแล้วในแต่ละปี,บริษัท วี ไอ วี อินเตอร์เคม จำกัด,123230167,20.92,1414.33,598.43,814.91,588.97,333.11,-,14.28,0.02
